date,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15
cumulative confirmed cases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,11.0,20.0,32.0,45.0,63.0,73.0,107.0,172.0,273.0,342.0,381.0,609.0,826.0,1086.0,1227.0,1564.0,1900.0,2262.0,2617.0,3067.0,3584.0,4082.0,4493.0,5078.0,5598.0,6069.0,6580.0,7007.0,7410.0,7634.0,8212.0,8579.0,9084.0,9672.0,9901.0,10304.0,10729.0,11128.0,11387.0,11811.0,12110.0,12520.0,12863.0,13047.0,13190.0,13445.0,13682.0,13994.0,14248.0,14521.0,14621.0,14840.0,14951.0,15095.0,15256.0,15365.0,15524.0,15602.0,15658.0,15749.0,15824.0,15953.0,16032.0,16140.0,16600.0,16686.0,16852.0,16906.0,17014.0,17065.0,17142.0,17202.0,17255.0,17338.0,17450.0,17546.0,17594.0,17629.0,17695.0,17752.0,17811.0,17912.0,18019.0,18066.0,18077.0,18117.0,18151.0,18206.0,18234.0,18295.0,18336.0,18364.0,18375.0,18388.0,18421.0,18499.0,18533.0,18515.0,18551.0,18578.0,18592.0,18617.0,18874.0,18903.0,18933.0,18953.0,18968.0,18995.0,19008.0,19045.0,19083.0,19100.0,19128.0,19136.0,19159.0,19161.0,19177.0,19203.0,19237.0,19257.0,19288.0,19307.0,19355.0
cumulative deaths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,5.0,8.0,11.0,15.0,18.0,20.0,20.0,36.0,47.0,69.0,99.0,118.0,156.0,172.0,186.0,232.0,276.0,312.0,352.0,412.0,428.0,433.0,535.0,590.0,642.0,684.0,732.0,740.0,751.0,849.0,888.0,932.0,975.0,1019.0,1023.0,1028.0,1090.0,1139.0,1186.0,1240.0,1265.0,1282.0,1292.0,1319.0,1349.0,1381.0,1398.0,1414.0,1423.0,1426.0,1444.0,1471.0,1496.0,1510.0,1522.0,1528.0,1546.0,1565.0,1569.0,1576.0,1585.0,1588.0,1595.0,1595.0,1605.0,1624.0,1628.0,1647.0,1657.0,1664.0,1667.0,1672.0,1687.0,1694.0,1702.0,1701.0,1707.0,1710.0,1722.0,1723.0,1723.0,1728.0,1741.0,1745.0,1751.0,1751.0,1755.0,1758.0,1758.0,1759.0,1760.0,1761.0,1765.0,1764.0,2011.0,2015.0,2018.0,2021.0,2021.0,2021.0,2024.0,2030.0,2034.0,2038.0,2040.0,2041.0,2042.0,2046.0,2060.0,2061.0,2070.0,2070.0,2077.0,2078.0,2085.0
