location,target,type,quantile,forecast_date,target_end_date,value
Alabama,1 wk ahead inc case,point,NA,2020-07-15,2020-07-21,1495.94
Alabama,1 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-21,1388.66
Alabama,1 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-21,1439.48
Alabama,1 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-21,1485.0
Alabama,1 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-21,1500.36
Alabama,1 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-21,1512.6
Alabama,1 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-21,1556.35
Alabama,1 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-21,1592.33
Alabama,2 wk ahead inc case,point,NA,2020-07-15,2020-07-28,1557.1
Alabama,2 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-28,1427.28
Alabama,2 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-28,1496.27
Alabama,2 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-28,1561.27
Alabama,2 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-28,1570.91
Alabama,2 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-28,1575.31
Alabama,2 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-28,1605.96
Alabama,2 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-28,1640.02
Alabama,3 wk ahead inc case,point,NA,2020-07-15,2020-08-04,1581.14
Alabama,3 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-04,1429.66
Alabama,3 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-04,1512.34
Alabama,3 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-04,1589.65
Alabama,3 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-04,1595.15
Alabama,3 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-04,1621.09
Alabama,3 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-04,1635.9
Alabama,3 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-04,1645.92
Alabama,4 wk ahead inc case,point,NA,2020-07-15,2020-08-11,1565.78
Alabama,4 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-11,1393.61
Alabama,4 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-11,1478.3
Alabama,4 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-11,1568.65
Alabama,4 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-11,1594.42
Alabama,4 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-11,1607.62
Alabama,4 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-11,1629.63
Alabama,4 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-11,1643.49
Alabama,5 wk ahead inc case,point,NA,2020-07-15,2020-08-18,1512.64
Alabama,5 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-18,1325.36
Alabama,5 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-18,1408.38
Alabama,5 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-18,1492.59
Alabama,5 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-18,1536.65
Alabama,5 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-18,1568.25
Alabama,5 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-18,1601.63
Alabama,5 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-18,1624.74
Alabama,6 wk ahead inc case,point,NA,2020-07-15,2020-08-25,1426.91
Alabama,6 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-25,1230.69
Alabama,6 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-25,1306.9
Alabama,6 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-25,1376.68
Alabama,6 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-25,1456.65
Alabama,6 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-25,1495.84
Alabama,6 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-25,1538.51
Alabama,6 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-25,1570.69
Alabama,7 wk ahead inc case,point,NA,2020-07-15,2020-09-01,1316.37
Alabama,7 wk ahead inc case,quantile,0.025,2020-07-15,2020-09-01,1115.39
Alabama,7 wk ahead inc case,quantile,0.1,2020-07-15,2020-09-01,1173.59
Alabama,7 wk ahead inc case,quantile,0.25,2020-07-15,2020-09-01,1238.99
Alabama,7 wk ahead inc case,quantile,0.5,2020-07-15,2020-09-01,1350.83
Alabama,7 wk ahead inc case,quantile,0.75,2020-07-15,2020-09-01,1395.16
Alabama,7 wk ahead inc case,quantile,0.9,2020-07-15,2020-09-01,1445.87
Alabama,7 wk ahead inc case,quantile,0.975,2020-07-15,2020-09-01,1486.1
Alabama,8 wk ahead inc case,point,NA,2020-07-15,2020-09-08,1189.98
Alabama,8 wk ahead inc case,quantile,0.025,2020-07-15,2020-09-08,991.31
Alabama,8 wk ahead inc case,quantile,0.1,2020-07-15,2020-09-08,1031.65
Alabama,8 wk ahead inc case,quantile,0.25,2020-07-15,2020-09-08,1090.88
Alabama,8 wk ahead inc case,quantile,0.5,2020-07-15,2020-09-08,1227.7
Alabama,8 wk ahead inc case,quantile,0.75,2020-07-15,2020-09-08,1274.53
Alabama,8 wk ahead inc case,quantile,0.9,2020-07-15,2020-09-08,1331.38
Alabama,8 wk ahead inc case,quantile,0.975,2020-07-15,2020-09-08,1377.93
Alaska,1 wk ahead inc case,point,NA,2020-07-15,2020-07-21,73.8
Alaska,1 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-21,66.82
Alaska,1 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-21,69.46
Alaska,1 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-21,71.16
Alaska,1 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-21,73.55
Alaska,1 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-21,75.07
Alaska,1 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-21,79.36
Alaska,1 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-21,80.77
Alaska,2 wk ahead inc case,point,NA,2020-07-15,2020-07-28,86.25
Alaska,2 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-28,76.96
Alaska,2 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-28,80.31
Alaska,2 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-28,83.08
Alaska,2 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-28,85.88
Alaska,2 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-28,88.21
Alaska,2 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-28,93.36
Alaska,2 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-28,95.02
Alaska,3 wk ahead inc case,point,NA,2020-07-15,2020-08-04,100.61
Alaska,3 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-04,88.51
Alaska,3 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-04,92.69
Alaska,3 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-04,96.83
Alaska,3 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-04,100.1
Alaska,3 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-04,103.47
Alaska,3 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-04,109.62
Alaska,3 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-04,111.57
Alaska,4 wk ahead inc case,point,NA,2020-07-15,2020-08-11,117.14
Alaska,4 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-11,101.59
Alaska,4 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-11,106.78
Alaska,4 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-11,112.64
Alaska,4 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-11,116.44
Alaska,4 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-11,121.12
Alaska,4 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-11,128.43
Alaska,4 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-11,130.72
Alaska,5 wk ahead inc case,point,NA,2020-07-15,2020-08-18,136.06
Alaska,5 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-18,116.36
Alaska,5 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-18,122.74
Alaska,5 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-18,130.71
Alaska,5 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-18,135.58
Alaska,5 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-18,141.46
Alaska,5 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-18,150.07
