location,target,type,quantile,forecast_date,target_end_date,value
Alabama,1 wk ahead inc case,point,NA,2020-07-15,2020-07-21,8333.81
Alabama,1 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-21,7710.88
Alabama,1 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-21,8019.31
Alabama,1 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-21,8306.31
Alabama,1 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-21,8319.71
Alabama,1 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-21,8408.19
Alabama,1 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-21,8640.07
Alabama,1 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-21,8894.94
Alabama,2 wk ahead inc case,point,NA,2020-07-15,2020-07-28,8675.16
Alabama,2 wk ahead inc case,quantile,0.025,2020-07-15,2020-07-28,7906.28
Alabama,2 wk ahead inc case,quantile,0.1,2020-07-15,2020-07-28,8259.07
Alabama,2 wk ahead inc case,quantile,0.25,2020-07-15,2020-07-28,8623.86
Alabama,2 wk ahead inc case,quantile,0.5,2020-07-15,2020-07-28,8732.7
Alabama,2 wk ahead inc case,quantile,0.75,2020-07-15,2020-07-28,8856.89
Alabama,2 wk ahead inc case,quantile,0.9,2020-07-15,2020-07-28,9031.91
Alabama,2 wk ahead inc case,quantile,0.975,2020-07-15,2020-07-28,9190.4
Alabama,3 wk ahead inc case,point,NA,2020-07-15,2020-08-04,8809.85
Alabama,3 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-04,7904.31
Alabama,3 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-04,8287.35
Alabama,3 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-04,8730.55
Alabama,3 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-04,8955.85
Alabama,3 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-04,9121.94
Alabama,3 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-04,9217.62
Alabama,3 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-04,9228.01
Alabama,4 wk ahead inc case,point,NA,2020-07-15,2020-08-11,8725.09
Alabama,4 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-11,7704.87
Alabama,4 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-11,8100.6
Alabama,4 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-11,8615.81
Alabama,4 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-11,8944.1
Alabama,4 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-11,8999.48
Alabama,4 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-11,9149.97
Alabama,4 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-11,9283.46
Alabama,5 wk ahead inc case,point,NA,2020-07-15,2020-08-18,8429.84
Alabama,5 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-18,7327.46
Alabama,5 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-18,7717.35
Alabama,5 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-18,8238.36
Alabama,5 wk ahead inc case,quantile,0.5,2020-07-15,2020-08-18,8518.24
Alabama,5 wk ahead inc case,quantile,0.75,2020-07-15,2020-08-18,8788.56
Alabama,5 wk ahead inc case,quantile,0.9,2020-07-15,2020-08-18,8981.91
Alabama,5 wk ahead inc case,quantile,0.975,2020-07-15,2020-08-18,9174.93
Alabama,6 wk ahead inc case,point,NA,2020-07-15,2020-08-25,7952.99
Alabama,6 wk ahead inc case,quantile,0.025,2020-07-15,2020-08-25,6807.39
Alabama,6 wk ahead inc case,quantile,0.1,2020-07-15,2020-08-25,7174.59
Alabama,6 wk ahead inc case,quantile,0.25,2020-07-15,2020-08-25,7597.66
