CountryName,TotalPop,pop_over_65,HosRate,mortality
Guinea,13133000,2.926022448,0.028408189,0.009469396
Guinea-Bissau,1968000,2.823716336,0.027414918,0.009138306
Guyana,787000,6.450271243,0.062624442,0.020874814
Haiti,11403000,4.949403848,0.048052809,0.016017603
Honduras,9905000,4.690617659,0.045540304,0.015180101
Hungary,9695000,19.15772538,0.185998669,0.061999556
Iceland,359000,14.79509256,0.143642706,0.047880902
India,1380004000,6.179955649,0.06,0.02
Indonesia,273524000,5.857165613,0.056866094,0.018955365
Iran,83993000,6.184573806,0.060044837,0.020014946
Iraq,40222000,3.323599663,0.032268189,0.010756063
Ireland,4933000,13.8658017,0.1346204,0.044873467
Israel,9152000,11.97698602,0.116282252,0.038760751
Italy,60250000,22.7516796,0.220891678,0.073630559
Jamaica,2961000,8.796642551,0.08540491,0.028468303
Japan,125661000,27.57636991,0.267733668,0.089244556
Jordan,10203000,3.846490398,0.037344835,0.012448278
Kazakhstan,18654000,7.391846271,0.071766013,0.023922004
Kenya,53771000,2.339186612,0.022710713,0.007570238
"Korea, South",51922000,9.33452041,0.090627062,0.030209021
Kosovo,1870000,14.41855583,0.139986984,0.046662328
Kuwait,4271000,2.550472384,0.024762046,0.008254015
Kyrgyzstan,6489000,4.494727976,0.043638449,0.01454615
Laos,7276000,4.075149964,0.039564847,0.013188282
Latvia,1905000,20.04362032,0.194599652,0.064866551
Lebanon,6825000,7.002368134,0.067984645,0.022661548
Liberia,5058000,3.2534318,0.031586943,0.010528981
Libya,6871000,4.392040259,0.042641474,0.014213825
Liechtenstein,38000,,0,0
Lithuania,2767000,19.70503316,0.191312374,0.063770791
Luxembourg,622000,14.18315418,0.137701514,0.045900505
Madagascar,27691000,2.986717126,0.028997462,0.009665821
Malawi,19130000,2.64543493,0.025684019,0.00856134
Malaysia,32366000,6.671754625,0.064774782,0.021591594
Maldives,541000,3.703344606,0.03595506,0.01198502
Mali,20251000,2.507229758,0.024342211,0.00811407
Malta,486000,20.3493243,0.197567673,0.065855891
Mauritania,4650000,3.141112158,0.030496453,0.010165484
