Country,TotalPop
Afghanistan,38928000
Albania,2867000
Algeria,43851000
AmericanSamoa,55000
Andorra,77000
Angola,32866000
Antigua and Barbuda,98000
Argentina,45303000
Armenia,2963000
Aruba,107000
Australia,25608000
Austria,8883000
Azerbaijan,10115000
Bahamas,393000
Bahrain,1702000
Bangladesh,164689000
Barbados,287000
Belarus,9448000
Belgium,11538000
Belize,398000
Benin,12123000
Bhutan,772000
Bolivia,11673000
BosniaAndHerzegovina,3281000
Botswana,2352000
Brazil,212559000
BritishVirginIslands,30000
BruneiDarussalam,437000
Bulgaria,6916000
BurkinaFaso,20903000
Burundi,11891000
CaboVerde,556000
Cambodia,16719000
Cameroon,26546000
Canada,37684000
CaymanIslands,66000
CentralAfricanRepublic,4830000
Chad,16426000
ChannelIslands,174000
Chile,19116000
China,1401379000
Colombia,50883000
Comoros,870000
CongoDemRep,89561000
CongoRep,5518000
CostaRica,5094000
CoteDIvoire,26378000
Croatia,4052000
Cuba,11327000
Curacao,162000
Cyprus,1207000
CzechRepublic,10631000
Denmark,5840000
Djibouti,988000
Dominica,72000
DominicanRepublic,10848000
Ecuador,17643000
Egypt,102334000
ElSalvador,6486000
EquatorialGuinea,1403000
Estonia,1313000
Eswatini,1160000
Ethiopia,114964000
FaroeIslands,49000
Fiji,896000
Finland,5548000
France,67443000
FrenchPolynesia,281000
Gabon,2226000
Gambia,2417000
Georgia,3711000
Germany,82678000
Ghana,31073000
Gibraltar,34000
Greece,10665000
Grenada,113000
Guam,169000
Guatemala,17916000
Guinea,13133000
GuineaBissau,1968000
Guyana,787000
Haiti,11403000
Honduras,9905000
HongKong,7564000
Hungary,9695000
Iceland,359000
India,1380004000
Indonesia,273524000
Iran,83993000
Iraq,40222000
Ireland,4933000
IsleOfMan,85000
Israel,9152000
Italy,60250000
Jamaica,2961000
Japan,125661000
Jordan,10203000
Kazakhstan,18654000
Kenya,53771000
Kiribati,119000
KoreaDemPeoplesRep,25779000
SouthKorea,51922000
Kosovo,1870000
Kuwait,4271000
KyrgyzRepublic,6489000
Lao PDR,7276000
Latvia,1905000
Lebanon,6825000
Lesotho,2142000
Liberia,5058000
Libya,6871000
Liechtenstein,38000
Lithuania,2767000
Luxembourg,622000
Madagascar,27691000
Malawi,19130000
Malaysia,32366000
Maldives,541000
Mali,20251000
Malta,486000
MarshallIslands,59000
Mauritania,4650000
Mauritius,1270000
Mexico,128933000
Micronesia,115000
Moldova,3525000
Monaco,39000
Mongolia,3278000
Montenegro,622000
Morocco,36911000
Mozambique,31255000
Myanmar,54410000
Namibia,2541000
Nauru,13000
Nepal,29137000
Netherlands,17330000
NewCaledonia,291000
NewZealand,4971000
Nicaragua,6625000
Niger,24207000
Nigeria,206140000
NorthAmerica,369599000
NorthMacedonia,2083000
NorthernMarianaIslands,58000
Norway,5422000
Oman,5107000
Pakistan,220892000
Palau,18000
Panama,4315000
PapuaNewGuinea,8947000
Paraguay,7133000
Peru,32972000
Philippines,109581000
Poland,37806000
Portugal,10195000
PuertoRico,3184000
Qatar,2881000
Romania,19247000
RussianFederation,144222000
Rwanda,12952000
Samoa,198000
San Marino,34000
SaoTomeAndPrincipe,219000
SaudiArabia,34814000
Senegal,16744000
Serbia,6929000
Seychelles,98000
SierraLeone,7977000
Singapore,5772000
SlovakRepublic,5448000
Slovenia,2067000
SolomonIslands,687000
Somalia,15893000
SouthAfrica,59309000
SouthSudan,11194000
Spain,46711000
Sri Lanka,21837000
StKittsAndNevis,53000
St Lucia,184000
StVincentAndTheGrenadines,111000
Sudan,43849000
Suriname,587000
Sweden,10319000
Switzerland,8641000
Syria,17501000
Tajikistan,9538000
Tanzania,59734000
Thailand,69800000
TimorLeste,1318000
Togo,8279000
Tonga,106000
TrinidadAndTobago,1399000
Tunisia,11819000
Turkey,84339000
Turkmenistan,6031000
TurksAndCaicosIslands,39000
Tuvalu,12000
Uganda,45741000
Ukraine,44158000
UnitedArabEmirates,9890000
UK,67224000
UnitedStates,331915000
Uruguay,3474000
Uzbekistan,33749000
Vanuatu,307000
Venezuela,28436000
Vietnam,97339000
Virgin Islands,107000
West Bank And Gaza,4813000
Yemen,29826000
Zambia,18384000
Zimbabwe,14863000
