CountryName,TotalPop,pop_over_65,0to64,65to79,over80,beta1_mid,beta2_mid,gamma1_mid,gamma2_mid,gamma3_mid,hosp_rate_mid,sympt_rate_mid,delta_mid,beta1_min,beta2_min,gamma1_min,gamma2_min,gamma3_min,hosp_rate_min,sympt_rate_min,delta_min,beta1_max,beta2_max,gamma1_max,gamma2_max,gamma3_max,hosp_rate_max,sympt_rate_max,delta_max
El Salvador,6486000,8.287090005,91.71291,6.640845684,1.646244321,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,3213970,3.95,96.05,3.717555092,0.232444908,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,1403000,2.457877347,97.54212265,2.457877347,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1313000,19.62635685,80.37364315,16.4798401,3.146516752,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,1160000,4.014587941,95.98541206,3.737691915,0.276896026,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,114964000,3.501132998,96.498867,3.046593234,0.454539764,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,896000,5.449680413,94.55031959,4.978172906,0.471507507,,,,,,,,,,,,,,,,,,,,,,,,
Finland,5548000,21.72078755,78.27921245,17.79804382,3.922743734,,,,,,,,,,,,,,,,,,,,,,,,
France,67443000,20.03462475,79.96537525,15.46733947,4.567285278,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,2226000,3.563907468,96.43609253,3.178592249,0.385315219,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,2417000,2.589980939,97.41001906,2.346187847,0.243793092,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,3711000,14.86549143,85.13450857,12.3459549,2.519536527,,,,,,,,,,,,,,,,,,,,,,,,
Germany,82678000,21.461962,78.538038,16.39160918,5.070352822,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,31073000,3.068898007,96.93110199,2.788936842,0.279961165,,,,,,,,,,,,,,,,,,,,,,,,
Greece,10665000,21.65527208,78.34472792,15.51621354,6.139058539,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,113000,9.621906796,90.3780932,7.892979763,1.728927033,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,17916000,4.812072508,95.18792749,3.876897523,0.935174985,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,13133000,2.926022448,97.07397755,2.66765722,0.258365228,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,1968000,2.823716336,97.17628366,2.635023691,0.188692645,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,787000,6.450271243,93.54972876,5.372263371,1.078007872,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,11403000,4.949403848,95.05059615,4.267809873,0.681593975,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,9905000,4.690617659,95.30938234,3.835246291,0.855371368,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,9695000,19.15772538,80.84227462,16.49159174,2.666133636,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,359000,14.79509256,85.20490744,11.67834009,3.116752471,,,,,,,,,,,,,,,,,,,,,,,,
India,1380004000,6.179955649,93.82004435,5.364483706,0.815471943,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,273524000,5.857165613,94.14283439,5.21854361,0.638622003,,,,,,,,,,,,,,,,,,,,,,,,
Iran,83993000,6.184573806,93.81542619,4.904936137,1.279637669,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,40222000,3.323599663,96.67640034,2.947680366,0.375919297,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,4933000,13.8658017,86.1341983,11.36572112,2.500080583,,,,,,,,,,,,,,,,,,,,,,,,
Israel,9152000,11.97698602,88.02301398,9.564416519,2.412569501,,,,,,,,,,,,,,,,,,,,,,,,
Italy,60250000,22.7516796,77.2483204,17.27007045,5.48160915,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,2961000,8.796642551,91.20335745,6.857780715,1.938861836,,,,,,,,,,,,,,,,,,,,,,,,
Japan,125661000,27.57636991,72.42363009,21.41011639,6.16625352,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,10203000,3.846490398,96.1535096,3.312950171,0.533540227,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,18654000,7.391846271,92.60815373,6.475513673,0.916332598,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,53771000,2.339186612,97.66081339,2.146634554,0.192552058,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",51922000,9.33452041,90.66547959,7.26014061,2.0743798,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,1870000,14.41855583,85.58144417,14.41855583,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,4271000,2.550472384,97.44952762,2.342042592,0.208429792,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,6489000,4.494727976,95.50527202,3.88111912,0.613608856,,,,,,,,,,,,,,,,,,,,,,,,
Laos,7276000,4.075149964,95.92485004,3.620758733,0.454391231,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,1905000,20.04362032,79.95637968,16.90120001,3.142420306,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,6825000,7.002368134,92.99763187,5.8072265,1.195141634,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,5058000,3.2534318,96.7465682,2.91534135,0.33809045,,,,,,,,,,,,,,,,,,,,,,,,
Libya,6871000,4.392040259,95.60795974,3.768047667,0.623992592,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,38000,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2767000,19.70503316,80.29496684,16.20228442,3.502748738,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,622000,14.18315418,85.81684582,11.18190133,3.001252845,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,27691000,2.986717126,97.01328287,2.602706621,0.384010505,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,19130000,2.64543493,97.35456507,2.439997519,0.205437411,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,32366000,6.671754625,93.32824538,5.657455562,1.014299063,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,541000,3.703344606,96.29665539,3.019321325,0.684023281,,,,,,,,,,,,,,,,,,,,,,,,
Mali,20251000,2.507229758,97.49277024,2.266625804,0.240603954,,,,,,,,,,,,,,,,,,,,,,,,
Malta,486000,20.3493243,79.6506757,16.96170304,3.387621262,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,4650000,3.141112158,96.85888784,2.818907461,0.322204697,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,1270000,11.47417307,88.52582693,10.02194491,1.45222816,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,128933000,7.223684981,92.77631502,5.899801058,1.323883923,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,3525000,11.46955634,88.53044366,10.03466713,1.434889207,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,39000,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,3278000,4.083538787,95.91646121,3.640410442,0.443128345,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,622000,14.97493664,85.02506336,12.32506164,2.649874997,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,36911000,7.012904821,92.98709518,6.117557438,0.895347383,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,31255000,2.890764457,97.10923554,2.665743389,0.225021068,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,2541000,3.636031681,96.36396832,3.23058902,0.405442661,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,29137000,5.727670776,94.27232922,4.989516616,0.73815416,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,17330000,19.19619263,80.80380737,15.54972783,3.646464803,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,4971000,15.65242453,84.34757547,12.47418976,3.178234768,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,6625000,5.247497448,94.75250255,4.37213253,0.875364918,,,,,,,,,,,,,,,,,,,,,,,,
Niger,24207000,2.595007883,97.40499212,2.394019824,0.200988059,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,206140000,2.747377005,97.252623,2.546764794,0.200612211,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,2083000,13.67018138,86.32981862,13.67018138,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,5422000,17.04922216,82.95077784,13.84522714,3.203995019,,,,,,,,,,,,,,,,,,,,,,,,
Oman,5107000,2.392786956,97.60721304,2.101144059,0.291642897,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,220892000,4.312774311,95.68722569,3.644605817,0.668168494,,,,,,,,,,,,,,,,,,,,,,,,
Panama,4315000,8.10473108,91.89526892,6.413934066,1.690797014,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,8947000,3.445269251,96.55473075,3.143523043,0.301746208,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,7133000,6.430215009,93.56978499,5.411484423,1.018730586,,,,,,,,,,,,,,,,,,,,,,,,
Peru,32972000,8.088392792,91.91160721,6.626832798,1.461559994,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,109581000,5.122568768,94.87743123,4.593069656,0.529499112,,,,,,,,,,,,,,,,,,,,,,,,
Poland,37806000,17.51781676,82.48218324,14.61469057,2.903126191,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,10195000,21.95385754,78.04614246,17.02560258,4.92825496,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,2881000,1.370070339,98.62992966,1.282701909,0.08736843,,,,,,,,,,,,,,,,,,,,,,,,
Romania,19247000,18.33870139,81.66129861,14.91573278,3.422968613,,,,,,,,,,,,,,,,,,,,,,,,
Russia,144222000,14.67470832,85.32529168,12.64252092,2.032187402,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,12952000,2.938196078,97.06180392,2.654542839,0.283653239,,,,,,,,,,,,,,,,,,,,,,,,
