,CountryName,TotalPop,pop_over_65,X0to64,X65to79,over80,total,beta1,beta2,gamma1,gamma2,gamma3,hosp_rate,sympt_rate,mu,delta,beta1_UB,beta2_UB,gamma1_UB,gamma2_UB,gamma3_UB,hosp_rate_UB,sympt_rate_UB,mu_UB,delta_UB,beta1_LB,beta2_LB,gamma1_LB,gamma2_LB,gamma3_LB,hosp_rate_LB,sympt_rate_LB,mu_LB,delta_LB
1,Afghanistan,38928000,2.58492694,0.974150731,0.023516011,0.002333258,1,0.54901391,0.581375983,0.204843693,0.202843693,0.145587533,0.206366692,0.837680203,0.21,0.014695732,0.870576899,0.92078136,0.304252615,0.301226765,0.215895391,0.242582474,1,0.45,1,0.42190553,0.444816632,0.169714447,0.16869093,0.120509986,0.170127395,0.670344162,0.14,0.01
2,Albania,2867000,13.74473591,0.862552641,0.112966572,0.024480787,1,0.557696413,0.591488835,0.20843784,0.20643784,0.148087847,0.226547017,0.844934078,0.21,0.023701156,0.885801976,0.936877074,0.309588036,0.306450589,0.219712734,0.269086254,1,0.45,1,0.440522809,0.452562916,0.172750603,0.171637636,0.122675505,0.183894813,0.676147263,0.14,0.01
3,Algeria,43851000,6.362496545,0.936375035,0.05180741,0.011817555,1,0.55195093,0.584775311,0.206052354,0.204052354,0.146427922,0.213416301,0.840135623,0.21,0.017879191,0.875694779,0.926191961,0.306046718,0.302983093,0.217179604,0.251949437,1,0.45,1,0.429207103,0.447422832,0.170734229,0.169682421,0.121237047,0.174831357,0.672308498,0.14,0.01
4,Andorra,77000,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01
5,Angola,32866000,2.216373648,0.977836264,0.02008841,0.002075326,1,0.548726696,0.581036324,0.204723102,0.202723102,0.14550354,0.20575232,0.837440643,0.21,0.014430525,0.870065567,0.920240802,0.304073571,0.301051407,0.215767429,0.24180141,1,0.45,1,0.421528859,0.444557023,0.169612283,0.168592195,0.120437049,0.169683142,0.670152514,0.14,0.01
6,Antigua and Barbuda,98000,8.79982552,0.912001745,0.072616623,0.015381633,1,0.553848482,0.586999258,0.206842416,0.204842416,0.146977815,0.217683702,0.841719887,0.21,0.019759434,0.879042886,0.929731491,0.307219625,0.304131626,0.218018412,0.257484599,1,0.45,1,0.432632844,0.449124823,0.171402425,0.170329808,0.12171382,0.177810188,0.673575909,0.14,0.01
7,Argentina,45303000,11.11778888,0.888822111,0.093429701,0.017748188,1,0.555654127,0.589126565,0.207597878,0.205597878,0.147503847,0.221629585,0.843226563,0.21,0.021478031,0.882245437,0.933117112,0.308341227,0.30523005,0.218820233,0.262545111,1,0.45,1,0.435376257,0.450751645,0.172041988,0.170948558,0.122170313,0.180620629,0.67478125,0.14,0.01
8,Armenia,2963000,11.25381766,0.887461823,0.087942181,0.024595996,1,0.555753382,0.589170898,0.207615376,0.205615376,0.14751459,0.22259913,0.843314981,0.21,0.022035093,0.882312617,0.933188326,0.308366795,0.305254257,0.218840452,0.264177162,1,0.45,1,0.438911844,0.450793443,0.172052685,0.170964743,0.122176976,0.180933155,0.674851985,0.14,0.01
9,Australia,25608000,15.65647523,0.843435248,0.122484564,0.034080188,1,0.559177971,0.59315156,0.209030316,0.207030316,0.148498749,0.230642616,0.846176709,0.21,0.025638604,0.888305622,0.93952406,0.310467192,0.307310627,0.220343446,0.274781778,1,0.45,1,0.446632173,0.453843456,0.173247492,0.172125008,0.123029054,0.18638097,0.677141367,0.14,0.01
10,Austria,8883000,19.00156646,0.809984335,0.150814797,0.039200868,1,0.561782021,0.596201046,0.210113713,0.208113713,0.149252758,0.236524586,0.848351018,0.21,0.028234712,0.892896577,0.944377502,0.312075562,0.308885547,0.221493745,0.282424074,1,0.45,1,0.451449086,0.456177505,0.174163635,0.17301282,0.123682711,0.190474283,0.678880815,0.14,0.01
11,Azerbaijan,10115000,6.195182751,0.938048173,0.052128429,0.009823398,1,0.551822419,0.584643639,0.206005117,0.204005117,0.146395422,0.212930914,0.840026869,0.21,0.017631154,0.875496435,0.925982226,0.305976699,0.302914747,0.21712902,0.251221318,1,0.45,1,0.428091942,0.447319993,0.170695358,0.169643229,0.121209566,0.174588382,0.672221495,0.14,0.01
12,Bahamas,393000,7.257602357,0.927423976,0.062486445,0.010089578,1,0.55265084,0.585628495,0.20635465,0.20435465,0.14663898,0.214649441,0.840717442,0.21,0.0183632,0.876979031,0.927549549,0.306495688,0.303423112,0.217499803,0.253377879,1,0.45,1,0.428937651,0.448072181,0.17099177,0.169929284,0.121421252,0.175858518,0.672773953,0.14,0.01
13,Bahrain,1702000,2.426333878,0.975736661,0.021798815,0.002464524,1,0.548890076,0.581226916,0.204790832,0.202790832,0.145550663,0.206128968,0.837577117,0.21,0.014598084,0.870352506,0.920544148,0.304174116,0.301149853,0.215839359,0.242294581,1,0.45,1,0.421865299,0.444702981,0.169669515,0.168647717,0.120477873,0.169941557,0.670261694,0.14,0.01
14,Bangladesh,164689000,5.15839064,0.948416094,0.04232714,0.009256766,1,0.551014288,0.583686222,0.205665242,0.203665242,0.14615866,0.211220085,0.839352954,0.21,0.016895899,0.874055125,0.92445854,0.305472071,0.302420487,0.21676841,0.24905571,1,0.45,1,0.427112275,0.446588403,0.170407322,0.169364995,0.121003908,0.173342134,0.671682363,0.14,0.01
15,Barbados,287000,15.80269396,0.84197306,0.121246575,0.036780365,1,0.559289321,0.593255141,0.209067768,0.207067768,0.148524279,0.231172123,0.846271751,0.21,0.025920475,0.888461725,0.93968916,0.310522638,0.307364611,0.220383821,0.275608627,1,0.45,1,0.448088328,0.45392567,0.173277633,0.172156386,0.123050198,0.186614374,0.677217401,0.14,0.01
16,Belarus,9448000,14.84514817,0.851548518,0.128600904,0.019850578,1,0.558559365,0.592567781,0.208819497,0.206819497,0.148354832,0.227787349,0.845649346,0.21,0.024125779,0.887425897,0.938593658,0.310155019,0.307006568,0.2201164,0.270343658,1,0.45,1,0.43893109,0.453381251,0.173077239,0.171948638,0.122909478,0.185102439,0.676719477,0.14,0.01
17,Belgium,11538000,18.78874374,0.812112563,0.145202696,0.042684741,1,0.561612535,0.595961315,0.210029546,0.208029546,0.149193357,0.236569424,0.848212683,0.21,0.028328598,0.892535916,0.943996331,0.311950376,0.308762489,0.221405321,0.282695976,1,0.45,1,0.453058883,0.45599853,0.174090109,0.172944907,0.123629695,0.190297669,0.678770147,0.14,0.01
18,Belize,398000,4.736458777,0.952635412,0.036887539,0.010477049,1,0.550683961,0.583279182,0.205521123,0.203521123,0.146057954,0.210683445,0.839078698,0.21,0.01669534,0.873442455,0.923810895,0.305258002,0.302210638,0.216615852,0.248463121,1,0.45,1,0.427443383,0.446279069,0.1702843,0.169247413,0.120915861,0.172866881,0.671462959,0.14,0.01
19,Benin,12123000,3.253605297,0.967463947,0.029205185,0.003330868,1,0.549534481,0.581985882,0.205060366,0.203060366,0.145738337,0.207539628,0.838114843,0.21,0.015212922,0.871495092,0.921752049,0.304574281,0.301541745,0.216125438,0.244104981,1,0.45,1,0.422855342,0.445283413,0.169897686,0.168868481,0.120640728,0.170945069,0.670691875,0.14,0.01
20,Bhutan,772000,6.003011713,0.939969883,0.047946878,0.01208324,1,0.551670266,0.584437802,0.205932661,0.203932661,0.146344443,0.212873945,0.839901958,0.21,0.017655684,0.875186718,0.925654876,0.305868976,0.302808946,0.217052721,0.251290528,1,0.45,1,0.429099887,0.447165472,0.17063251,0.169584563,0.121164353,0.174409415,0.672121566,0.14,0.01
21,Bolivia,11673000,7.191947392,0.928080526,0.058229982,0.013689492,1,0.552596029,0.585524237,0.206318585,0.204318585,0.146613079,0.214941041,0.840674766,0.21,0.018563874,0.876822316,0.927383982,0.306441917,0.303369998,0.217462424,0.253964265,1,0.45,1,0.430704419,0.447996767,0.170958987,0.169900757,0.121397321,0.175859586,0.672739813,0.14,0.01
22,Bosnia and Herzegovina,3281000,16.47031747,0.835296825,0.138410091,0.026293084,1,0.559820555,0.594001878,0.209330032,0.207330032,0.148709294,0.231080044,0.846705706,0.21,0.025655983,0.889585169,0.940876501,0.310912697,0.307747994,0.220659439,0.274843552,1,0.45,1,0.443260534,0.454483581,0.173506517,0.172368106,0.123215184,0.187178126,0.677564565,0.14,0.01
23,Botswana,2352000,4.223874346,0.957761257,0.038941932,0.003296811,1,0.550291325,0.582888641,0.205380691,0.203380691,0.145961601,0.209078609,0.838745518,0.21,0.015862627,0.872854081,0.923188695,0.305049918,0.302007679,0.216465169,0.246019337,1,0.45,1,0.423488292,0.445972576,0.170169498,0.169130556,0.120834884,0.17209894,0.671196415,0.14,0.01
24,Brazil,212559000,8.922837832,0.910771622,0.075424068,0.01380431,1,0.553946009,0.587132587,0.206889319,0.204889319,0.14701084,0.217705786,0.841799845,0.21,0.01973484,0.879243495,0.929943518,0.307289365,0.304200136,0.218067776,0.257414277,1,0.45,1,0.431921869,0.44922478,0.171443177,0.170367753,0.121743155,0.177921872,0.673639876,0.14,0.01
25,Brunei,437000,4.873147568,0.951268524,0.04187202,0.006859455,1,0.550794196,0.583449714,0.205580701,0.203580701,0.146100246,0.210502845,0.839167546,0.21,0.016541198,0.873698936,0.924081929,0.305346686,0.302297954,0.216678164,0.248013864,1,0.45,1,0.425715315,0.446405059,0.170337043,0.169295171,0.120954051,0.172949954,0.671534037,0.14,0.01
26,Bulgaria,6916000,21.02191443,0.789780856,0.175435751,0.034783393,1,0.56336231,0.59813298,0.210798098,0.208798098,0.14973069,0.239251017,0.849664244,0.21,0.029291997,0.895804579,0.947451549,0.313092038,0.309881819,0.222218536,0.285545286,1,0.45,1,0.450580729,0.457647292,0.174747002,0.173571567,0.124100033,0.192781313,0.679931395,0.14,0.01
27,Burkina Faso,20903000,2.406980829,0.975930192,0.022289122,0.001780686,1,0.548875664,0.581217124,0.204787181,0.202787181,0.145548264,0.206022975,0.837564538,0.21,0.014538578,0.870337721,0.920528499,0.304168736,0.301144667,0.215835321,0.242120179,1,0.45,1,0.421508362,0.444694711,0.169666832,0.168644543,0.120476054,0.169903482,0.67025163,0.14,0.01
28,Burundi,11891000,2.24694046,0.977530595,0.020196517,0.002272887,1,0.548750341,0.58106238,0.204732399,0.202732399,0.145509978,0.205822653,0.837460511,0.21,0.0144645,0.870104805,0.920282287,0.304087364,0.301064894,0.215777338,0.241901247,1,0.45,1,0.421648712,0.444577145,0.169620052,0.168599855,0.120442569,0.169723863,0.670168409,0.14,0.01
29,Cabo Verde,556000,4.609327157,0.953906728,0.037616583,0.008476688,1,0.550586798,0.583184954,0.205487171,0.203487171,0.146034715,0.210261266,0.838996063,0.21,0.016473883,0.873300478,0.923660747,0.30520771,0.302161617,0.216579358,0.247813329,1,0.45,1,0.426352023,0.446204809,0.170256705,0.169219088,0.120896435,0.172671586,0.67139685,0.14,0.01
